Bee_specie;freq;func_group;ch_sp
Trigona_braueri;0;robber;Ch_flexuosa
Trigona_braueri;0;robber;Ch_ramosa
Trigona_braueri;0;robber;Ch_distichoclada
Trigona_braueri;0;robber;Ch_rotundifolia
Trigona_spinipes;0;robber;Ch_10
Trigona_spinipes;0;robber;Ch_12
Trigona_spinipes;0;robber;Ch_14
Trigona_spinipes;0;robber;Ch_2
Trigona_spinipes;8;robber;Ch_debilis
Trigona_spinipes;0;robber;Ch_desvauxii
Trigona_spinipes;0;robber;Ch_flexuosa
Trigona_spinipes;0;robber;Ch_ramosa
Trigona_spinipes;86;robber;Ch_distichoclada
Trigona_spinipes;0;robber;Ch_rotundifolia
Xylocopa_fortuita;0;flow_buzz;Ch_10
Xylocopa_fortuita;0;flow_buzz;Ch_12
Xylocopa_fortuita;0;flow_buzz;Ch_14
Xylocopa_fortuita;0;flow_buzz;Ch_2
Xylocopa_fortuita;2;flow_buzz;Ch_debilis
Xylocopa_fortuita;0;flow_buzz;Ch_desvauxii
Xylocopa_fortuita;0;flow_buzz;Ch_flexuosa
Xylocopa_fortuita;1;flow_buzz;Ch_ramosa
Xylocopa_fortuita;0;flow_buzz;Ch_distichoclada
Xylocopa_fortuita;0;flow_buzz;Ch_rotundifolia
Xylocopa_hirsutissima;12;flow_buzz;Ch_10
Xylocopa_hirsutissima;5;flow_buzz;Ch_12
Xylocopa_hirsutissima;0;flow_buzz;Ch_14
Xylocopa_hirsutissima;25;flow_buzz;Ch_2
Xylocopa_hirsutissima;12;flow_buzz;Ch_debilis
Xylocopa_hirsutissima;0;flow_buzz;Ch_desvauxii
Xylocopa_hirsutissima;0;flow_buzz;Ch_flexuosa
Xylocopa_hirsutissima;1;flow_buzz;Ch_ramosa
Xylocopa_hirsutissima;3;flow_buzz;Ch_distichoclada
Xylocopa_hirsutissima;0;flow_buzz;Ch_rotundifolia
Xylocopa_subcyanea;5;flow_buzz;Ch_10
Xylocopa_subcyanea;0;flow_buzz;Ch_12
Xylocopa_subcyanea;0;flow_buzz;Ch_14
Xylocopa_subcyanea;30;flow_buzz;Ch_2
Xylocopa_subcyanea;5;flow_buzz;Ch_debilis
Xylocopa_subcyanea;15;flow_buzz;Ch_desvauxii
Xylocopa_subcyanea;17;flow_buzz;Ch_flexuosa
Xylocopa_subcyanea;13;flow_buzz;Ch_ramosa
Xylocopa_subcyanea;5;flow_buzz;Ch_distichoclada
Xylocopa_subcyanea;0;flow_buzz;Ch_rotundifolia
Xylocopa_truxali;0;flow_buzz;Ch_10
Xylocopa_truxali;0;flow_buzz;Ch_12
Xylocopa_truxali;0;flow_buzz;Ch_14
Xylocopa_truxali;0;flow_buzz;Ch_2
Xylocopa_truxali;14;flow_buzz;Ch_debilis
Xylocopa_truxali;0;flow_buzz;Ch_desvauxii
Xylocopa_truxali;0;flow_buzz;Ch_flexuosa
Xylocopa_truxali;0;flow_buzz;Ch_ramosa
Xylocopa_truxali;1;flow_buzz;Ch_distichoclada
Xylocopa_truxali;0;flow_buzz;Ch_rotundifolia
